id_master,c1,c2,stim,category1,category2,relation,obs,obsc1,obsc2,stimlen,c1len,c2len,nparses,correctParse,ratingcmp,ratingC1,ratingC2,isPlural,nc1_cmp,nc2_cmp,nc1_cmpnoplural,nc2_cmpnoplural,sentiment_stim,sentiment_c1,sentiment_c2,sentimentprobpos_stim,sentimentprobpos_c1,sentimentprobpos_c2,sentimentprobneg_stim,sentimentprobneg_c1,sentimentprobneg_c2,sentimentratioposneg_stim,sentimentratioposneg_c1,sentimentratioposneg_c2,profanity_stim,profanity_c1,profanity_c2,isCommonstim,isCommonC1,isCommonC2,bg_boundary,bgJonesMewhort,bgSUBTLEX,bgFacebook,inSUBTLEX,inBLP,inELP,inJuhaszLaiWoodcock,c1_inELP,c1_inBrysbaert,c1_inWordnet,c1_inMMA,c2_inELP,c2_inBrysbaert,c2_inWordnet,c2_inMMA,LSAc1c2,LSAc1stim,LSAc2stim,stim_SLlg10wf,BLPbncfrequency,BLPbncfrequencymillion,BLPrt,elp_ld_rt,elp_naming_mean_rt,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,fbusfreq,fbukfreq,valence_stim,valence_c1,valence_c2,concreteness_stim,concreteness_c1,concreteness_c2,Juhasz_tran,st_c1_mean,st_c2_mean,Zipfvalue,c1_SLlg10wf,c2_SLlg10wf,c1_BLPbncfrequency,c1_BLPbncfrequencymillion,c2_BLPbncfrequency,c2_BLPbncfrequencymillion
8847,worm,seed,wormseed,,,,1,3,14,8,4,4,1,yes,45.444443,33.185184,72.222221,0,5,13,4,13,Positive,Positive,Positive,0.39635709,0.39620897,0.45365074,0.35563472,0.27196473,0.21648055,1.1145061,1.4573841,1.8309132,FALSE,FALSE,FALSE,0,1,1,ms,10.6,54814,972373,0,0,0,0,1,1,1,1,1,1,1,1,0.05,,,,,,,,,0.71789002,0.87028199,0.67190599,,,,5.0500002,6.25,4.07,4.9,4.71,,,,,2.7135,2.5876999,595,5.9499998,1659,16.59
4473,jay,walker,jaywalker,,,,1,2,2,9,3,6,1,yes,38.82143,15.928572,79.321426,0,4,8,2,8,Positive,Positive,Indeterminate,0.39635709,0.48448741,0.34657538,0.35563472,0.16727841,0.31869629,1.1145061,2.3694456,1.2436827,FALSE,FALSE,FALSE,1,1,1,yw,8.040000000000000,22074,192558,1,0,0,0,1,0,1,1,1,0,1,1,0.13,0.01,0.07,0.60210001,,,,,,0.77021199,0.86684102,0.79990298,,,,,,4.07,3.77,4.42,,,,1.893894133472420,2.9149001,2.9079001,940,9.3999996,2277,22.77
6083,pulp,wood,pulpwood,,,,1,1,14,8,4,4,1,yes,60.090908,52.299999,84.849998,0,1,84,1,84,Positive,Neutral,Negative,0.39635709,0.30048069,0.34308884,0.35563472,0.2345061,0.36215571,1.1145061,1.6901782,1.0944383,FALSE,FALSE,FALSE,1,1,1,pw,5.85,370,3511,0,0,0,0,1,1,1,1,1,1,1,1,0.21,0.14,0.33,,,,,,,0.67372102,0.607288,0.557859,,,,4.79,5.9000001,4.07,4.3,4.85,,,,,1.9730999,3.1392,279,2.79,7357,73.57
5178,mill,work,millwork,,,,1,9,1,8,4,4,1,yes,56.727272,72.14286,74.761902,0,13,66,9,66,Positive,Positive,Positive,0.39635709,0.39357173,0.46797773,0.35563472,0.31252959,0.34131646,1.1145061,1.2682226,1.1612598,FALSE,FALSE,FALSE,0,1,1,lw,8.49,34486,899002,0,0,0,0,1,1,1,1,1,0,1,1,0.32,0.03,0.12,,,,,,,0.81132698,0.79616803,0.94260103,,,,5.2600002,4.9499998,4.07,4.72,3.48,,,,,2.6875,4.6096001,3497,34.970001,91354,913.53998
5516,oil,bird,oilbird,,,,1,7,6,7,3,4,1,yes,40.090908,46.857143,70.952377,0,18,49,12,49,Positive,Neutral,Positive,0.39635709,0.26583678,0.48892498,0.35563472,0.26524279,0.15755469,1.1145061,1.4943181,2.5156794,FALSE,FALSE,FALSE,0,1,1,lb,8.6,5257,62536,0,0,0,0,1,1,1,1,1,1,1,1,0.03,,,,,,,,,0.93140799,0.97910601,0.63604802,,,,3.9000001,6.7199998,4.06,4.93,5,,,,,3.3213999,3.3652999,10277,102.77,3955,39.549999
6166,rail,bird,railbird,,,,1,4,28,8,4,4,1,yes,39.884617,44.153847,54.73077,0,8,49,6,49,Positive,Negative,Positive,0.39635709,0.30972809,0.48892498,0.35563472,0.42439002,0.15755469,1.1145061,0.93394536,2.5156794,FALSE,FALSE,FALSE,0,1,1,lb,8.6,5257,62536,1,0,0,0,1,1,1,1,1,1,1,1,0.01,0.09,-0.03,0.301,,,,,,0.87171298,0.98857498,0.93896902,,,,5.0999999,6.7199998,4.06,4.9,5,,,,1.592864137808440,2.3692,3.3652999,3974,39.740002,3955,39.549999
2123,dams,elfish,damselfish,,,,2,1,1,10,4,6,3,no,,,,0,0,0,0,0,Positive,Positive,Positive,0.39635709,0.39635709,0.39635709,0.35563472,0.35563472,0.35563472,1.1145061,1.1145061,1.1145061,FALSE,FALSE,FALSE,0,0,1,se,12.9,1092848,17338957,0,0,0,0,1,0,0,1,0,0,0,1,0.01,,,,,,,,,,,0.635759,,,,4.5500002,,4.06,,2.11,,,,,1.3424,,189,1.89,,
2125,damsel,fish,damselfish,,,,1,2,21,10,6,4,3,yes,55.148148,23.037037,85.814812,0,3,133,2,133,Positive,Positive,Positive,0.39635709,0.39635709,0.52156067,0.35563472,0.35563472,0.13792123,1.1145061,1.1145061,2.8737931,FALSE,FALSE,FALSE,0,1,1,lf,10,77010,1492744,0,0,0,0,1,1,1,1,1,1,1,1,0.02,,,,,,,,,0.66262102,0.64100403,0.41878101,,,,5.7399998,6.3699999,4.06,3.88,5,,,,,1.6628,3.6293001,67,0.67000002,10894,108.94
3355,globe,fish,globefish,,,,1,1,40,9,5,4,1,yes,43.166668,33.916668,83.375,0,4,133,3,133,Positive,Positive,Positive,0.39635709,0.42379302,0.52156067,0.35563472,0.19875607,0.13792123,1.1145061,1.9941887,2.8737931,FALSE,FALSE,FALSE,0,1,1,ef,11.2,124888,2133392,0,0,0,0,1,1,1,1,1,1,1,1,0.04,,,,,,,,,0.93552601,1.00904,0.98855001,,,,5.9499998,6.3699999,4.06,4.59,5,,,,,2.4265001,3.6293001,684,6.8400002,10894,108.94
1949,cows,lip,cowslip,,,,2,3,3,7,4,3,2,no,,,,0,0,3,0,3,Positive,Neutral,Negative,0.39635709,0.2090648,0.2445931,0.35563472,0.21952631,0.387629,1.1145061,1.8055106,1.0225166,FALSE,FALSE,FALSE,1,1,1,sl,10.4,63728,1596775,0,1,0,0,1,0,1,1,1,1,1,1,0.03,0.03,0.08,,97,0.97000003,600.166666666667,,,,,0.84008098,,,,5.3200002,6.3699999,4.06,,4.96,,,,,2.6821001,2.7395999,1214,12.14,1592,15.92
